,hyperlink
1128,https://github.com/1MurasaKi/Eyewear_Shop_XSS/blob/main/README.md
1129,https://github.com/1MurasaKi/PboostCMS_XSS/blob/main/README.md
1130,https://github.com/1MurasaKi/PizzaCSRF_report/tree/main/vender/Online%20Pizza%20Ordering%20System
1131,https://github.com/1MurasaKi/PizzeXSS_Report/blob/main/Online%20Pizza%20Ordering%20System/README.md
1132,https://github.com/1MurasaKi/STMS_CSRF/blob/main/README.md
1133,https://github.com/1nters3ct/CVEs/blob/main/CVE-2023-26255.md
1134,https://github.com/1nters3ct/CVEs/blob/main/CVE-2023-26256.md
1135,https://github.com/1Panel-dev/1Panel/commit/1169648162c4b9b48e0b4aa508f9dea4d6bc50d5
1136,https://github.com/1Panel-dev/1Panel/commit/e17b80cff4975ee343568ff526b62319f499005d
1137,https://github.com/1Panel-dev/1Panel/pull/3817
1138,https://github.com/1Panel-dev/1Panel/pull/4131
1139,https://github.com/1Panel-dev/1Panel/pull/4131/commits/0edd7a9f6f5100aab98a0ea6e5deedff7700396c
1140,https://github.com/1Panel-dev/1Panel/pull/4131#issue-2176105990
1141,https://github.com/1Panel-dev/1Panel/releases/tag/v1.10.1-lts
1142,https://github.com/1Panel-dev/1Panel/releases/tag/v1.3.6
1143,https://github.com/1Panel-dev/1Panel/releases/tag/v1.5.0
1144,https://github.com/1Panel-dev/1Panel/security/advisories/GHSA-26w3-q4j8-4xjp
1145,https://github.com/1Panel-dev/1Panel/security/advisories/GHSA-7x2c-fgx6-xf9h
1146,https://github.com/1Panel-dev/1Panel/security/advisories/GHSA-85cf-gj29-f555
1147,https://github.com/1Panel-dev/1Panel/security/advisories/GHSA-9xfw-jjq2-7v8h
1148,https://github.com/1Panel-dev/1Panel/security/advisories/GHSA-hf7j-xj3w-87g4
1149,https://github.com/1Panel-dev/1Panel/security/advisories/GHSA-p9xf-74xh-mhw5
1150,https://github.com/1Panel-dev/1Panel/security/advisories/GHSA-pv7q-v9mv-9mh5
1151,https://github.com/1Panel-dev/1Panel/security/advisories/GHSA-q2mx-gpjf-3h8x
1152,https://github.com/1Panel-dev/KubePi/security/advisories/GHSA-757p-vx43-fp9r
1153,https://github.com/1Panel-dev/KubePi/security/advisories/GHSA-87f6-8gr7-pc6h
1154,https://github.com/1testnew/CVE_Hunter/blob/main/SQLi-1.md
1155,https://github.com/201206030/novel-plus
1156,https://github.com/201206030/novel-plus/commit/c62da9bb3a9b3603014d0edb436146512631100d
1157,https://github.com/201206030/novel-plus/commit/d6093d8182362422370d7eaf6c53afde9ee45215
1158,https://github.com/202ecommerce/paypal/commit/2f6884ea1d0fe4b58441699fcc1d6c56c7d733eb
1159,https://github.com/202ecommerce/paypal/security/advisories/GHSA-66pc-8gh8-mx7m
1160,https://github.com/202ecommerce/security-advisories/security/advisories/GHSA-jp2c-mj65-qpmw
1161,https://github.com/20Yiju/DLink/blob/master/DIR-845L/CI.md
1162,https://github.com/2111715623/cms/blob/main/1.md
1163,https://github.com/2111715623/cms/blob/main/2.md
1164,https://github.com/2111715623/cms/blob/main/3.md
1165,https://github.com/2205794866/Tenda/blob/main/AC15/10.md
1166,https://github.com/2205794866/Tenda/blob/main/AC15/1.md
1167,https://github.com/2205794866/Tenda/blob/main/AC15/3.md
1168,https://github.com/2205794866/Tenda/blob/main/AC15/4.md
1169,https://github.com/2205794866/Tenda/blob/main/AC15/5.md
1170,https://github.com/2205794866/Tenda/blob/main/AC15/7.md
1171,https://github.com/2205794866/Tenda/blob/main/AC15/8.md
1172,https://github.com/2205794866/Tenda/blob/main/AC15/9.md
1173,https://github.com/2205794866/Tenda/blob/main/AC5/1.md
1174,https://github.com/2267787739/cve/blob/main/logic.md
1175,https://github.com/2308652512/JJWT_BUG
1176,https://github.com/2689469248/bug_report/blob/main/vendors/razormist/Health%20Center%20Patient%20Record%20Management/SQLi-1.md
1177,https://github.com/2689469248/bug_report/blob/main/vendors/razormist/Health%20Center%20Patient%20Record%20Management/XSS-1.md
1178,https://github.com/2714925725/bug_report/blob/main/XSS-1.md
1179,https://github.com/2714925725/CMS-bug/blob/main/Informationdisclosure-1.md
1180,https://github.com/2889436547/bug_report/blob/main/vendors/Skynidnine/Friendly%20Island%20Pizza%20Website%20and%20Ordering%20System/XSS-1.md
1181,https://github.com/296430468/lcc_test/blob/main/jumpserver_BUG.md
1182,https://github.com/32ns/KLive
1183,https://github.com/333123www/bug_report/blob/main/SQLi-1.md
1184,https://github.com/389ds/389-ds-base/commit/0b932d4b926d46ac5060f02617330dc444e06da1
1185,https://github.com/3scale/APIcast/pull/1438
1186,https://github.com/3zizme/CVE-2023-49339/
1187,https://github.com/40826d/advisories/blob/master/CVE-2022-48364/README.md
1188,https://github.com/4hsien/CVE-vulns/blob/main/TOTOLINK/X2000R/XSS_1_Root_Access_Control/XSS.md
1189,https://github.com/4hsien/CVE-vulns/blob/main/TOTOLINK/X2000R/XSS_3_MAC_Filtering/XSS.md
1190,https://github.com/4hsien/CVE-vulns/blob/main/TOTOLINK/X2000R/XSS_5_VPN/XSS.md
1191,https://github.com/4hsien/CVE-vulns/blob/main/TOTOLINK/X2000R/XSS_6_Wireless_settings/XSS.md
1192,https://github.com/4nNns/cveAdd/blob/b73e94ff089ae2201d9836b4d61b8175ff21618a/sqli/%E4%B8%87%E6%88%B7EZOFFICE%20%E5%89%8D%E5%8F%B0SQL%E6%B3%A8%E5%85%A5%E6%BC%8F%E6%B4%9E.md
1193,https://github.com/4O4NtFd/bug_report/blob/main/SQLI1/SQLi-1.md
1194,https://github.com/4O4NtFd/bug_report/blob/main/SQLI2/SQLi-2.md
1195,https://github.com/59160781/project/commit/9d9618422b980335bb30be612ea90f4f56cb992c
1196,https://github.com/594238758/mycve/blob/main/judging-management-system/SQLi-1.md
1197,https://github.com/594238758/mycve/blob/main/judging-management-system/SQLi-2.md
1198,https://github.com/594238758/mycve/blob/main/judging-management-system/SQLi-3.md
1199,https://github.com/5erua/netgear_orbi_overflow_vulnerability/blob/main/README.md
1200,https://github.com/5erua/vuls/blob/main/dir882.md
1201,https://github.com/5List/cms/blob/main/1.md
1202,https://github.com/6rignard/CveReport/blob/main/Agro-School%20Management%20System%20exam-delete.php%20has%20Sqlinjection.pdf
1203,https://github.com/726232111/VulIoT/tree/main/D-Link/DIR-816%20A2_v1.10CNB05/addRouting
1204,https://github.com/726232111/VulIoT/tree/main/D-Link/DIR-816%20A2_v1.10CNB05/Diagnosis
1205,https://github.com/726232111/VulIoT/tree/main/D-Link/DIR823G%20V1.0.2B05/excu_shell
1206,https://github.com/726232111/VulIoT/tree/main/D-Link/DIR823G%20V1.0.2B05/HNAP1
1207,https://github.com/726232111/VulIoT/tree/main/D-Link/DIR823G%20V1.0.2B05/HNAP1/boSetPasswdSettings
1208,https://github.com/726232111/VulIoT/tree/main/D-Link/DIR823G%20V1.0.2B05/HNAP1/SetMultipleActions
1209,https://github.com/726232111/VulIoT/tree/main/D-Link/DIR823G%20V1.0.2B05/HNAP1/SetParentsControlInfo
1210,https://github.com/7332all/cve/blob/main/rce_1.md
1211,https://github.com/777erp/cms/blob/main/10.md
1212,https://github.com/777erp/cms/blob/main/11.md
1213,https://github.com/777erp/cms/blob/main/12.md
1214,https://github.com/777erp/cms/blob/main/13.md
1215,https://github.com/777erp/cms/blob/main/14.md
1216,https://github.com/777erp/cms/blob/main/15.md
1217,https://github.com/777erp/cms/blob/main/16.md
1218,https://github.com/777erp/cms/blob/main/17.md
1219,https://github.com/777erp/cms/blob/main/18.md
1220,https://github.com/777erp/cms/blob/main/19.md
1221,https://github.com/777erp/cms/blob/main/1.md
1222,https://github.com/777erp/cms/blob/main/20.md
1223,https://github.com/777erp/cms/blob/main/2.md
1224,https://github.com/777erp/cms/blob/main/3.md
1225,https://github.com/777erp/cms/blob/main/4.md
1226,https://github.com/777erp/cms/blob/main/5.md
1227,https://github.com/777erp/cms/blob/main/6.md
1228,https://github.com/777erp/cms/blob/main/7.md
1229,https://github.com/777erp/cms/blob/main/9.md
1230,https://github.com/779789571/zzcms/blob/main/README.md
1231,https://github.com/7R4C4R/CVE/blob/main/Netis-360R-AC1200/unauthorized%20access/readme.md
1232,https://github.com/7R4C4R/CVE/blob/main/TPLINK-TL-ER5120G/command%20injection/01/command%20injection01.md
1233,https://github.com/7R4C4R/CVE/blob/main/TPLINK-TL-ER5120G/command%20injection/02/command%20injection02.md
1234,https://github.com/7R4C4R/CVE/blob/main/TPLINK-TL-ER5120G/unauthorized%20access/Unauthorized%20Access%20Vulnerability.md
1235,https://github.com/8079048q/cve/blob/main/weaveroa.md
1236,https://github.com/849200701/cms/blob/main/CSRF%20exists%20in%20the%20backup%20and%20restore%20location.md
1237,https://github.com/850362564/BugHub/blob/main/Matrimonial%20Site%20System%20auth.php%20has%20Sqlinjection.pdf
1238,https://github.com/88250/symphony/issues/82
1239,https://github.com/89luca89/distrobox/commit/82a69f0a234e73e447d0ea8c8b3443b84fd31944
1240,https://github.com/89luca89/distrobox/issues/1275
